Text,Class
'days clean let a lot of people down and a month and a half wasted','Neg'
'days till my birthday prepared to be alone on it again nofriends nolife nobigdeal sweet16','Neg'
':(','Neg'
'days till prom & still no date','Neg'
'and i saw at the shs awards from afar and when i tried to find her after she disappeared','Neg'
'tile left and zero moves fml candycrushprobs addicted','Neg'
':( noo i have a blackberry haha never mind can you send me the url to send my music into please :)','Neg'
'euro worth of petrol real life evo car fuel petrol expensive oil','Neg'
'in days nolongerateen halfwaytofourty','Neg'
'is on the radio bring me back to varsities crying galpals','Neg'
'hours in a&e is absolutely gutting so sad just makes you think','Neg'
'hours and i will years old i dont feel for this age anymore :d','Neg'
'mins ago i was crying because i didnt wanna go work now im crying because my company has shut down and i dont have a job','Neg'
'know also that in the last days perilous times shall come sad lonely love christians','Neg'
'heady highminded lovers of pleasures more than lovers of god; sad lonely christians','Neg'
'having a form of godliness but denying the power thereof: from such turn away sad lonely christians','Neg'
'and everyday it feels like im losing you all over again missyousomuch','Neg'
'fs in classes nograduation forever','Neg'
'words of one assignment done completed now on words out of','Neg'
'am hurt inbed cut','Neg'
'followers','Neg'
'days of being left','Neg'
'meet cancelled meets till conference dont know what to say it would be nice to get a meet in p od','Neg'
'months later and i still miss her as much as ever','Neg'
'days off work an now back to the daily grind could not be more depressed right now workissues voda','Neg'
'hours sat in uni words written hitabrickwall','Neg'
'honest to god almost cried today i miss my best friend','Neg'
'really tears into your soul','Neg'
'not even joking i cud do it all again tomorrow and it wud still be unreal','Neg'
'a beautiful day but a shitty day as well','Neg'
'last few nights in aa come home','Neg'
'last few nights in aa does anyone understand that i can not survive on campus without my abe','Neg'
'about to break to pieces sad','Neg'
'absolute nightmare','Neg'
'but ik you and my boys will always support us','Neg'
'acctually need big weekend tickets was trying for a hour and a half yesterday','Neg'
'actually dont feel like listening to yuni mori at all piano gives me nightmares and persistent frustration','Neg'
'actually feel so lost after finishing the last episode of one tree hill nathanwhereyouat','Neg'
'actually hate this','Neg'
'actually so jealous of how pretty and skinny some girls are','Neg'
'actually the fact that i dont have shit to do tomorrow really depresses me','Neg'
'actually upset because is moving to bridlington and i will see her like once a year or something bestfriend sadtimes','Neg'
'i thought this was you and not','Neg'
'i know enjoyy euro drinks:(','Neg'
'adam sandler fuckin up never thought hed let me down','Neg'
'dont ever talk to me again :(','Neg'
'added to my favorite films gore intense heartbreaking','Neg'
'added to my favorite films gore intense heartbreaking','Neg'
'after long years on kesterson lane how will we ball hard now nogame','Neg'
'after a good night im again','Neg'
'after a year of dropping my phone at least once a day the iphones screen finally cracked','Neg'
'after crying & bad memories my song is finished proud xx','Neg'
'after may first we will have days till we have to be back in school again','Neg'
'after realising the amount of weight that ive put on i want to go sleep & never wake up so need icecream','Neg'
'after today i need a chocolate cake away :','Neg'
'a full time job doesnt look too bad right now i know ill regret it in the future but i really dont ask for a lot out of life','Neg'
'been thinking of that since the flood','Neg'
'ahahaha kill me now please bigfuckup','Neg'
'ahh','Neg'
'ahh battery is at and i have hours :(( shouldofbroughtmycharger','Neg'
'ahh here i am with kidneystones musclespasms musclestrains stress lololololol hahaha','Neg'
'ahh my car sadguy','Neg'
'ahh ive been think about aldo a lot today :( but utexaspinkparty','Neg'
'ahh noo one direction to play at radio weekend on saturday','Neg'
'a hot bath sounds like something that should be in my near future exhausted sick','Neg'
'ah yes the infamous i havent slept on over hours depressive mood swing now i really cant sleep','Neg'
'i was gonna say shes never given me wine though hatedstaff','Neg'
'depressed pictures to match my personality teen girl emo scene goth blacksoul nature','Neg'
'ale kills herself','Neg'
'well now i just got depressed :(','Neg'
'is a slut and cheated on me with guys in one room','Neg'
'chico is getting put down today tear sadday mybaby :( noo','Neg'
'gimme','Neg'
'i dont turn in days wtf betrayed lost confused','Neg'
'a little followers no buys and zero website views sucks being indie sometimes','Neg'
'all of my best friends have boyfriends except me','Neg'
'all everyone is talking about is prom','Neg'
'have the habs suddenly made a reappearance and what in gods name is going on with the goaltending','Neg'
'all i can ever do is think about us indian newcastle','Neg'
'all i can say is i tried abouttobreakdown','Neg'
'only more days of school left umwhat excited shut up k','Neg'
'that sub tweeting about my cousin','Neg'
'all i have ever tried is to make you proud','Neg'
'all i think about is my bed and food studyingforthecpaproblems','Neg'
'all i wanna do is golf','Neg'
