Text,Class
'days clean let a lot of people down and a month and a half wasted',Neg
'nuff said haay cryingtrollface really cantwait potd ig igerslipa instamood',Neg
'numbing myself with music and talkin with you whatawaytoendtheday ohwell',Neg
nyaya,Neg
'he still gon be with her even after couple thousands seen her nudes',Neg
'np now playing music korean yesung suju south korea love ost drama',Neg
'np nowplaying lanadelrey bliss spleen happy sweet dream metro train',Neg
'now your just somebody that i used to know',Neg
'now my tongue hurts',Neg
'nyr niice win i mean the panthers are in last place for their division league and conference hahah',Neg
'now needs at least minutes before work to tweet check facebook football and wrestling news read the sun and check emails',Neg
'nowplaying mariah carey we belong together tears love truth tunee',Neg
'no words are strong enough for how much i hate this place',Neg
'internet gun sites ease illegal sales does this really surprise anyone pathetic',Neg
'oan about to turn off the news',Neg
'obama is a busy man between boat and west texas',Neg
'officially not going back to hamilton business',Neg
'they out may outie theres no way they can take this cup',Neg
'offline slp',Neg
'offline bye bye c',Neg
'now my phone cannot switch on without a charger being connected',Neg
'officially done my first year of university in day and hours happy bittersweet',Neg
'i have a crush on you but i didnt see any black dudes as your ex on that suck it episode',Neg
thats,Neg
'officially a senior and no longer an official intern at everybodys',Neg
'of course i work on this gorgeous day of course all the other days im off it rains grr cantenjoyit',Neg
'office uob single alone likeforlike hurt peace single',Neg
'of course i would spill my milk holdingbackthetears',Neg
'off school ill sick ear ache negemoti bored',Neg
'now it rains weather fml thursday rain rainyday',Neg
'now i need to learn crap french not happy hate life crap',Neg
'fun fact longest tenured current cleveland sports coach terry francona games',Neg
'not seeing you around campus is going to suck next year upset',Neg
'not sure how many more hour library days i can manage lonely trapped saveme',Neg
'not really adulthood but more so the onset of the first instance of a perpetual string of health declines until death',Neg
'not ready to leave yet',Neg
'not ready for this exam exams fuckexams fuckbacktobackexams',Neg
'no track meet',Neg
'not one is a girl',Neg
'not sure what i feel if im honest happy scared giveitago',Neg
'not planning on going to school tomorrow but my mom will probably make me go just want to stay in bed',Neg
'no trackk notsure happy',Neg
'not quite sure how to feel about this butiknowithurts upset hurting',Neg
'not texting someone to see if they will text you first knowing its not going to happen',Neg
'not too fond of gap collaboration notimpressed whykids',Neg
'not wearing anything because i do not own anything nice',Neg
'no where to go tonight bored',Neg
'nowgram sick warded hospital alone drip painful',Neg
'now im addicted to this song',Neg
'now im home shock mad',Neg
'now in then days you gotta lie sometimes the truth hurt too bad for somebody to take it and straight with it',Neg
'now days its material possessions first and then personality',Neg
'now a days women have to dress naked for immature men to find them attractive',Neg
'no twits from my most favorite anon in days',Neg
'no way stevos left sum only two original members left now',Neg
'people will do anything to get attention',Neg
'nowadays women be so fucking picky i swear they all seem to be looking for this same made up imaginary dude',Neg
'i really legitimately think youd like it one of the best shooters released this gen sorry',Neg
'off seum',Neg
'off to hit greggs for a munch',Neg
'off to newry and back early',Neg
'oh the feels trivia didyouknow wow thefeels',Neg
'oh white doggie from luigismansion why didja have to turn to a life of crimehadto',Neg
'oh why oh why am i watching bitchinkitchin its rubbish and extremelyannoying but somehow i am watching it aarrgh save me',Neg
'oh snap i just remembered someone i do regret d aw',Neg
'oh poop let of my coffee go cold time to make a new mug need a coffeebreak now coldcoffee badtimes',Neg
'oh pink sock why did you have to go and ruin one of my favorite shirts laundryprobs',Neg
'oh no now texas',Neg
'jk i gave up on this rutgerspinkparty shit because wtf is this',Neg
'oh no one of my design heroes has died storm thorgerson did some of the best sleeves ever lovely man too complete innovator',Neg
'know whats sad did an experiment you tweeted rted or so posts on the gun legis today west bost combined roughly',Neg
'continued outrage over gun laws over west boston you know true tragedies',Neg
'oh youre a model whos your agent instagram',Neg
'oh youre finally getting somewhere with your horse lets just make her go unexplainably lame fml',Neg
'okaay negemoti',Neg
'okay so you have a boyfriend never would have guessed that by the way you talk to me girls',Neg
