Text,Class
'does anyone else find it ironic that last weeks episode of family guy was about the boston marathon weird',Neg
'im just gonna eat cake and gain acouple pounds nbd',Neg
'my friend lost',Neg
'going to see lana del rey with in one week',Pos
'nowplaying in my place coldplay mumbai and beer',Pos
'i really do have a problem i almost ate the whole box of fruit snacks i have an addiction to fruit snacks smh',Neg
'yung side mirror i remember na naman posemoti',Pos
'the sound of raindrops on the rooftop accompanied by old skul jamz may this nyt neva end priceless',Pos
'esports thats the reason',Neg
'copy cats',Neg
onceinalifetime,Pos
'your like my mother posemoti praised encouraged thankyoubeck',Pos
'goddamn miley cyrus and song on repeat cant wait to blast this in the car for summer',Neg
'got ma c so happy gcse maths passed',Pos
'liking a guy so much it hurts notachance',Neg
'really cant watch the news in this messed up world we live in',Neg
rememberingmom,Neg
'happy blessed grateful',Pos
'i want to skip class so bad today thunder lightning dark',Neg
'thanks its abt an hour half from me but ive been to that town a lot',Neg
'it makes me really sad when i take the time to remember everything all the good and even the bad indeed',Neg
'wish wanted to hang out with me',Neg
'aww thank youu bebs',Pos
'coffee creator cross fire god music nature nh senses smoke wind writing',Pos
'being away from my school friends makes me realize how much ill miss them this summer',Neg
'is it safe to say there is a lapse in animal care when a tiger gives birth to a cub and nobody knows i do gladidontworkthereanymore',Neg
'what does it it for you to finally notice me negemoti depressed i need you heart',Neg
're ordered my jacket in the right size and so much more random stuff online notsomoody posemoti',Pos
'on the way home selfies with kendrawadden and pocahontas selfie girls traveling home',Pos
'ive lost my favourite top negemoti',Neg
'fyi willing ur phone to magically get a txt from someone doesnt work bummed',Neg
'if everyone in the world ages what then we cant all live forever',Pos
'will never notice me mylifeisruined',Neg
'marriage perfect day',Pos
'xoxoxoxoxox never stop spreading love',Pos
'watching the road in preparation for grinderman and the bad seeds this weekend',Neg
'dad brought us to dennys posemoti',Pos
'ben and jerrys posemoti',Pos
'well im pretty happy now that i seen some people i havent seen in over a month',Pos
'spending the weekend with my boy heart',Pos
'hello little sunshine sun girl smile wonderland picoftheday tags4follow tags4likes',Pos
'whenever i want piece and quiet the children want to disturb me they are big kids aswell smh motherhood love it',Pos
'real comes not from ease or riches or from the praise of men but from doing something worthwhile quote',Pos
'this is the day that the lord has made let us rejoice and be glad in it attitude',Pos
'beauty day omg loveit',Pos
'good nightt cry',Neg
'its how the world can be fine being so negative',Neg
'tomorrow ill plan my future holidays journey guess where london ahah shopping london eurostar badfood sun bigben',Pos
'i love how my face is clearing up like before me',Pos
'im sorry but when you stay with a man whos called youre a little cunt little bitch to her face youre a pathetic parent',Neg
'just woke my brother up telling him he has to get up for school haha bored',Neg
'having fun playing with the baby sis d love',Pos
'so i did wake up to the sun shining stilltired',Pos
'so sweet nomon effort hehehe surprised thanks lovey anniversary iloveyou posemoti mareehmar',Pos
'weakass lovedthepornstache',Neg
'feeling very',Neg
'those quiet moments of peace in the midst of so many questions and concerns peace thankful',Pos
'dont know what to do',Neg
'photo necklace rainbow fluorite antiqued sterling tbj components style pirates booty',Pos
'love sleeping topless',Pos
'got a pretty good grade on my spanish speech',Pos
'this is cool m comingsoon',Pos
